danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.773956049,0.829221141,-10.59248476,0.075971954,0.388450713,0.064380621,0.118529088,0.943528858,107.5563407
0.43887844,0.594095987,-6.793411251,0.399492956,0.194547113,0.007842429,0.01947897,0.791925975,112.3822803
0.85859792,0.244854747,-9.518822602,0.548414084,0.279979461,0.10435897,0.142727709,0.003338507,104.476708
0.697368029,0.745675001,-12.12266583,0.152578064,0.159225948,0.16019204,0.374986742,0.712685007,113.1560314
0.094177348,0.084480896,-8.71867783,0.151242494,0.371863549,0.07769462,0.424170683,0.303970378,131.6766674
0.975622352,0.774417834,-4.688157586,0.128949706,0.503597851,0.041157761,0.117291086,0.605031775,102.32195
0.761139702,0.589985222,-6.848144975,0.455415615,0.175413912,0.086573336,0.339273366,0.282787057,95.92479733
0.786064305,0.110750318,-2.955476571,0.094458381,0.313785813,0.162645276,0.728674315,0.73004419,116.4354915
0.128113633,0.079505563,-7.556924637,0.190488687,0.265943454,0.213454077,0.253389551,0.186727132,97.21615385
0.450385938,0.750836333,-1.880493116,0.418522414,0.368941999,0.041199133,0.241582853,0.834533525,146.7321782
0.370798024,0.292935907,-7.556196936,0.038159073,0.433543246,0.001965985,0.362683344,0.072901287,106.0267758
0.926764989,0.889301851,-7.94379926,0.363929704,0.277714922,0.026300829,0.255165458,0.024093166,120.9618773
0.64386512,0.762073021,-11.19847522,0.037828573,0.126050136,0.070294042,0.235766241,0.131926669,129.079774
0.822761613,0.698190245,-5.223593149,0.137052629,0.1841193,0.081455077,0.153506763,0.384544982,94.75786152
0.443414199,0.278606053,-9.255312822,0.060866678,0.283093212,0.126206226,0.084155848,0.656682468,103.1056849
0.227238722,0.708944519,-9.617619099,0.177543838,0.396180253,0.160552688,0.424879496,0.480598178,107.3997583
0.554584787,0.948147685,-4.796923591,0.159070168,0.577888266,0.049571042,0.050370461,0.475709897,135.6497343
0.063817256,0.091559834,-5.104443328,0.058814084,0.659277545,0.024047692,0.047391689,0.865579734,156.6308821
0.827631172,0.326162642,-5.169871582,0.221668232,0.09386454,0.031111983,0.135997723,0.559268219,157.1186519
0.631664399,0.234672265,-8.905477835,0.070219797,0.489743137,0.180999126,0.129192188,0.507607028,145.4661428
0.75808774,0.393250134,-8.127439663,0.255863831,0.282627824,0.018982436,0.137701052,0.419430487,95.19995234
0.354525968,0.742332655,-8.149635994,0.0983809,0.72664961,0.144735714,0.065453829,0.978413955,102.4712271
0.970698024,0.474242581,-6.043704548,0.238352735,0.239954076,0.437848665,0.165117599,0.242809421,147.7492605
0.893121121,0.570730606,-4.116088329,0.047728202,0.408656739,0.120008894,0.125867743,0.155566305,150.5110704
0.778383497,0.314154888,-7.079633612,0.168994898,0.413739375,0.068600912,0.374901305,0.492367981,135.914305
0.194638708,0.141289267,-3.062772287,0.099335337,0.291205873,0.065998163,0.403533417,0.677764284,136.1159689
0.466721004,0.266933649,-5.757013955,0.127318177,0.442387747,0.103719611,0.094368892,0.021667863,111.4187526
0.043803766,0.859680301,-8.586998485,0.22090555,0.044381204,0.001202559,0.232893529,0.856992257,154.3227478
0.154289492,0.602416962,-5.928221485,0.071140358,0.168707183,0.027259348,0.226666301,0.283116161,105.3791381
0.683048953,0.377988673,-3.735149303,0.02011583,0.230262445,0.113166183,0.103501746,0.645384179,87.78931118
0.744762156,0.789905982,-3.004277542,0.016422692,0.19275086,0.364225206,0.55980529,0.173286272,136.0259162
0.967509732,0.064457432,-5.032771639,0.154649216,0.140359372,0.191569497,0.368671131,0.871919576,108.3443947
